Record Length,9216,,Source,CH1
Sample Interval,0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00001843200,-74.00000
Vertical Scale,CH1:50.00,,-0.00001842800,-78.00000
Vertical Offset,CH1:4.00000,,-0.00001842400,-78.00000
Horizontal Units,s,,-0.00001842000,-78.00000
Horizontal Scale,0.0000025000,,-0.00001841600,-78.00000
Model Number,WaveAce212,,-0.00001841200,-80.00000
Serial Number,LCRY2101C02669,,-0.00001840800,-80.00000
Software Version,2.06.02.19,,-0.00001840400,-80.00000
,,,-0.00001840000,-80.00000
,,,-0.00001839600,-82.00000
,,,-0.00001839200,-82.00000
,,,-0.00001838800,-82.00000
,,,-0.00001838400,-82.00000
,,,-0.00001838000,-82.00000
,,,-0.00001837600,-82.00000
,,,-0.00001837200,-82.00000
,,,-0.00001836800,-82.00000
,,,-0.00001836400,-82.00000
,,,-0.00001836000,-82.00000
,,,-0.00001835600,-82.00000
,,,-0.00001835200,-82.00000
,,,-0.00001834800,-82.00000
,,,-0.00001834400,-82.00000
,,,-0.00001834000,-80.00000
,,,-0.00001833600,-80.00000
,,,-0.00001833200,-80.00000
,,,-0.00001832800,-80.00000
,,,-0.00001832400,-78.00000
,,,-0.00001832000,-78.00000
,,,-0.00001831600,-76.00000
,,,-0.00001831200,-76.00000
,,,-0.00001830800,-76.00000
,,,-0.00001830400,-74.00000
,,,-0.00001830000,-74.00000
,,,-0.00001829600,-72.00000
,,,-0.00001829200,-70.00000
,,,-0.00001828800,-70.00000
,,,-0.00001828400,-68.00000
,,,-0.00001828000,-68.00000
,,,-0.00001827600,-68.00000
,,,-0.00001827200,-66.00000
,,,-0.00001826800,-64.00000
,,,-0.00001826400,-64.00000
,,,-0.00001826000,-62.00000
,,,-0.00001825600,-60.00000
,,,-0.00001825200,-60.00000
,,,-0.00001824800,-60.00000
,,,-0.00001824400,-58.00000
,,,-0.00001824000,-58.00000
,,,-0.00001823600,-56.00000
,,,-0.00001823200,-56.00000
,,,-0.00001822800,-54.00000
,,,-0.00001822400,-50.00000
,,,-0.00001822000,-50.00000
,,,-0.00001821600,-50.00000
,,,-0.00001821200,-48.00000
,,,-0.00001820800,-48.00000
,,,-0.00001820400,-46.00000
,,,-0.00001820000,-46.00000
,,,-0.00001819600,-44.00000
,,,-0.00001819200,-42.00000
,,,-0.00001818800,-42.00000
,,,-0.00001818400,-42.00000
,,,-0.00001818000,-40.00000
,,,-0.00001817600,-38.00000
,,,-0.00001817200,-38.00000
,,,-0.00001816800,-36.00000
,,,-0.00001816400,-36.00000
,,,-0.00001816000,-36.00000
,,,-0.00001815600,-34.00000
,,,-0.00001815200,-34.00000
,,,-0.00001814800,-34.00000
,,,-0.00001814400,-32.00000
,,,-0.00001814000,-32.00000
,,,-0.00001813600,-30.00000
,,,-0.00001813200,-30.00000
,,,-0.00001812800,-30.00000
,,,-0.00001812400,-28.00000
,,,-0.00001812000,-28.00000
,,,-0.00001811600,-28.00000
,,,-0.00001811200,-28.00000
,,,-0.00001810800,-26.00000
,,,-0.00001810400,-26.00000
,,,-0.00001810000,-26.00000
,,,-0.00001809600,-26.00000
,,,-0.00001809200,-26.00000
,,,-0.00001808800,-24.00000
,,,-0.00001808400,-26.00000
,,,-0.00001808000,-26.00000
,,,-0.00001807600,-26.00000
,,,-0.00001807200,-26.00000
,,,-0.00001806800,-26.00000
,,,-0.00001806400,-26.00000
,,,-0.00001806000,-26.00000
,,,-0.00001805600,-26.00000
,,,-0.00001805200,-26.00000
,,,-0.00001804800,-26.00000
,,,-0.00001804400,-26.00000
,,,-0.00001804000,-26.00000
,,,-0.00001803600,-28.00000
,,,-0.00001803200,-28.00000
,,,-0.00001802800,-28.00000
