Record Length,4096,,Source,CH1
Sample Interval,0.0000000020000,,Second,Volt
Vertical Units,CH1:V,,-0.000002164000,-0.01400
Vertical Scale,CH1:0.01,,-0.000002162000,-0.01400
Vertical Offset,CH1:-0.02480,,-0.000002160000,-0.01440
Horizontal Units,s,,-0.000002158000,-0.01440
Horizontal Scale,0.0000000500,,-0.000002156000,-0.01360
Model Number,WaveAce112,,-0.000002154000,-0.01200
Serial Number,LCRY2101C02399,,-0.000002152000,-0.01280
Software Version,2.07.02.16,,-0.000002150000,-0.01280
,,,-0.000002148000,-0.01360
,,,-0.000002146000,-0.01400
,,,-0.000002144000,-0.01440
,,,-0.000002142000,-0.01480
,,,-0.000002140000,-0.01400
,,,-0.000002138000,-0.01280
,,,-0.000002136000,-0.01320
,,,-0.000002134000,-0.01360
,,,-0.000002132000,-0.01440
,,,-0.000002130000,-0.01360
,,,-0.000002128000,-0.01440
,,,-0.000002126000,-0.01400
,,,-0.000002124000,-0.01360
,,,-0.000002122000,-0.01320
,,,-0.000002120000,-0.01320
,,,-0.000002118000,-0.01440
,,,-0.000002116000,-0.01520
,,,-0.000002114000,-0.01520
,,,-0.000002112000,-0.01400
,,,-0.000002110000,-0.01440
,,,-0.000002108000,-0.01400
,,,-0.000002106000,-0.01400
,,,-0.000002104000,-0.01480
,,,-0.000002102000,-0.01560
,,,-0.000002100000,-0.01520
,,,-0.000002098000,-0.01440
,,,-0.000002096000,-0.01440
,,,-0.000002094000,-0.01520
,,,-0.000002092000,-0.01640
,,,-0.000002090000,-0.01560
,,,-0.000002088000,-0.01560
,,,-0.000002086000,-0.01560
,,,-0.000002084000,-0.01480
,,,-0.000002082000,-0.01440
,,,-0.000002080000,-0.01440
,,,-0.000002078000,-0.01480
,,,-0.000002076000,-0.01480
,,,-0.000002074000,-0.01480
,,,-0.000002072000,-0.01600
,,,-0.000002070000,-0.01600
,,,-0.000002068000,-0.01560
,,,-0.000002066000,-0.01600
,,,-0.000002064000,-0.01600
,,,-0.000002062000,-0.01560
,,,-0.000002060000,-0.01440
,,,-0.000002058000,-0.01400
,,,-0.000002056000,-0.01520
,,,-0.000002054000,-0.01640
,,,-0.000002052000,-0.01560
,,,-0.000002050000,-0.01560
,,,-0.000002048000,-0.01600
,,,-0.000002046000,-0.01600
,,,-0.000002044000,-0.01600
,,,-0.000002042000,-0.01640
,,,-0.000002040000,-0.01720
,,,-0.000002038000,-0.01640
,,,-0.000002036000,-0.01480
,,,-0.000002034000,-0.01440
,,,-0.000002032000,-0.01480
,,,-0.000002030000,-0.01720
,,,-0.000002028000,-0.01760
,,,-0.000002026000,-0.01760
,,,-0.000002024000,-0.01760
,,,-0.000002022000,-0.01600
,,,-0.000002020000,-0.01520
,,,-0.000002018000,-0.01480
,,,-0.000002016000,-0.01600
,,,-0.000002014000,-0.01600
,,,-0.000002012000,-0.01600
,,,-0.000002010000,-0.01680
,,,-0.000002008000,-0.01600
,,,-0.000002006000,-0.01560
,,,-0.000002004000,-0.01520
,,,-0.000002002000,-0.01520
,,,-0.000002000000,-0.01600
,,,-0.000001998000,-0.01600
,,,-0.000001996000,-0.01640
,,,-0.000001994000,-0.01600
,,,-0.000001992000,-0.01560
,,,-0.000001990000,-0.01520
,,,-0.000001988000,-0.01560
,,,-0.000001986000,-0.01600
,,,-0.000001984000,-0.01640
,,,-0.000001982000,-0.01640
,,,-0.000001980000,-0.01560
,,,-0.000001978000,-0.01440
,,,-0.000001976000,-0.01480
,,,-0.000001974000,-0.01640
,,,-0.000001972000,-0.01600
,,,-0.000001970000,-0.01600
,,,-0.000001968000,-0.01600
,,,-0.000001966000,-0.01600
,,,-0.000001964000,-0.01560
,,,-0.000001962000,-0.01520
,,,-0.000001960000,-0.01680
,,,-0.000001958000,-0.01640
,,,-0.000001956000,-0.01600
,,,-0.000001954000,-0.01560
,,,-0.000001952000,-0.01680
,,,-0.000001950000,-0.01640
,,,-0.000001948000,-0.01600
,,,-0.000001946000,-0.01640
,,,-0.000001944000,-0.01720
,,,-0.000001942000,-0.01720
,,,-0.000001940000,-0.01600
,,,-0.000001938000,-0.01480
,,,-0.000001936000,-0.01600
,,,-0.000001934000,-0.01640
,,,-0.000001932000,-0.01680
,,,-0.000001930000,-0.01680
,,,-0.000001928000,-0.01640
,,,-0.000001926000,-0.01720
,,,-0.000001924000,-0.01720
,,,-0.000001922000,-0.01640
,,,-0.000001920000,-0.01640
,,,-0.000001918000,-0.01720
,,,-0.000001916000,-0.01760
,,,-0.000001914000,-0.01680
,,,-0.000001912000,-0.01720
,,,-0.000001910000,-0.01680
,,,-0.000001908000,-0.01560
,,,-0.000001906000,-0.01520
,,,-0.000001904000,-0.01680
,,,-0.000001902000,-0.01640
,,,-0.000001900000,-0.01720
,,,-0.000001898000,-0.01760
,,,-0.000001896000,-0.01800
,,,-0.000001894000,-0.01600
,,,-0.000001892000,-0.01600
,,,-0.000001890000,-0.01640
,,,-0.000001888000,-0.01600
,,,-0.000001886000,-0.01600
,,,-0.000001884000,-0.01720
,,,-0.000001882000,-0.01760
,,,-0.000001880000,-0.01760
