Record Length,9216,,Source,CH1
Sample Interval,0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00001843200,-1.60000
Vertical Scale,CH1:20.00,,-0.00001842800,-1.60000
Vertical Offset,CH1:0.00,,-0.00001842400,-1.60000
Horizontal Units,s,,-0.00001842000,-1.60000
Horizontal Scale,0.0000025000,,-0.00001841600,-1.60000
Model Number,WaveAce212,,-0.00001841200,-1.60000
Serial Number,LCRY2101C02669,,-0.00001840800,-1.60000
Software Version,2.06.02.19,,-0.00001840400,-1.60000
,,,-0.00001840000,-1.60000
,,,-0.00001839600,-1.60000
,,,-0.00001839200,-1.60000
,,,-0.00001838800,-1.60000
,,,-0.00001838400,-1.60000
,,,-0.00001838000,-1.60000
,,,-0.00001837600,-1.60000
,,,-0.00001837200,-1.60000
,,,-0.00001836800,-1.60000
,,,-0.00001836400,-1.60000
,,,-0.00001836000,-1.60000
,,,-0.00001835600,-2.40000
,,,-0.00001835200,-1.60000
,,,-0.00001834800,-1.60000
,,,-0.00001834400,-1.60000
,,,-0.00001834000,-2.40000
,,,-0.00001833600,-1.60000
,,,-0.00001833200,-2.40000
,,,-0.00001832800,-2.40000
,,,-0.00001832400,-2.40000
,,,-0.00001832000,-2.40000
,,,-0.00001831600,-1.60000
,,,-0.00001831200,-2.40000
,,,-0.00001830800,-2.40000
,,,-0.00001830400,-2.40000
,,,-0.00001830000,-1.60000
,,,-0.00001829600,-1.60000
,,,-0.00001829200,-2.40000
,,,-0.00001828800,-1.60000
,,,-0.00001828400,-2.40000
,,,-0.00001828000,-2.40000
,,,-0.00001827600,-1.60000
,,,-0.00001827200,-1.60000
,,,-0.00001826800,-2.40000
,,,-0.00001826400,-2.40000
,,,-0.00001826000,-2.40000
,,,-0.00001825600,-2.40000
,,,-0.00001825200,-2.40000
,,,-0.00001824800,-2.40000
,,,-0.00001824400,-2.40000
,,,-0.00001824000,-1.60000
,,,-0.00001823600,-2.40000
,,,-0.00001823200,-2.40000
,,,-0.00001822800,-2.40000
,,,-0.00001822400,-2.40000
,,,-0.00001822000,-2.40000
,,,-0.00001821600,-1.60000
,,,-0.00001821200,-2.40000
,,,-0.00001820800,-2.40000
,,,-0.00001820400,-2.40000
,,,-0.00001820000,-2.40000
,,,-0.00001819600,-2.40000
,,,-0.00001819200,-2.40000
,,,-0.00001818800,-2.40000
,,,-0.00001818400,-2.40000
,,,-0.00001818000,-2.40000
,,,-0.00001817600,-2.40000
,,,-0.00001817200,-2.40000
,,,-0.00001816800,-2.40000
,,,-0.00001816400,-2.40000
,,,-0.00001816000,-2.40000
,,,-0.00001815600,-2.40000
,,,-0.00001815200,-2.40000
,,,-0.00001814800,-2.40000
,,,-0.00001814400,-2.40000
,,,-0.00001814000,-2.40000
,,,-0.00001813600,-1.60000
,,,-0.00001813200,-2.40000
,,,-0.00001812800,-2.40000
,,,-0.00001812400,-2.40000
,,,-0.00001812000,-2.40000
,,,-0.00001811600,-2.40000
,,,-0.00001811200,-1.60000
,,,-0.00001810800,-2.40000
,,,-0.00001810400,-2.40000
,,,-0.00001810000,-1.60000
,,,-0.00001809600,-2.40000
,,,-0.00001809200,-2.40000
,,,-0.00001808800,-2.40000
,,,-0.00001808400,-2.40000
,,,-0.00001808000,-2.40000
,,,-0.00001807600,-1.60000
,,,-0.00001807200,-1.60000
,,,-0.00001806800,-1.60000
,,,-0.00001806400,-1.60000
,,,-0.00001806000,-1.60000
,,,-0.00001805600,-1.60000
,,,-0.00001805200,-1.60000
,,,-0.00001804800,-1.60000
,,,-0.00001804400,-2.40000
,,,-0.00001804000,-1.60000
,,,-0.00001803600,-1.60000
,,,-0.00001803200,-1.60000
,,,-0.00001802800,-1.60000
,,,-0.00001802400,-1.60000
,,,-0.00001802000,-1.60000
,,,-0.00001801600,-1.60000
,,,-0.00001801200,-1.60000
,,,-0.00001800800,-1.60000
,,,-0.00001800400,-0.80000
,,,-0.00001800000,-1.60000
,,,-0.00001799600,-1.60000
,,,-0.00001799200,-1.60000
,,,-0.00001798800,-1.60000
,,,-0.00001798400,-1.60000
,,,-0.00001798000,-1.60000
,,,-0.00001797600,-1.60000
,,,-0.00001797200,-1.60000
,,,-0.00001796800,-0.80000
,,,-0.00001796400,-1.60000
,,,-0.00001796000,-0.80000
,,,-0.00001795600,-0.80000
,,,-0.00001795200,-0.80000
,,,-0.00001794800,-1.60000
,,,-0.00001794400,-0.80000
,,,-0.00001794000,-0.80000
,,,-0.00001793600,-0.80000
,,,-0.00001793200,-0.80000
,,,-0.00001792800,-0.80000
,,,-0.00001792400,-1.60000
,,,-0.00001792000,-0.80000
,,,-0.00001791600,-0.80000
,,,-0.00001791200,-0.80000
,,,-0.00001790800,-0.80000
,,,-0.00001790400,-0.80000
,,,-0.00001790000,-0.80000
,,,-0.00001789600,-0.80000
,,,-0.00001789200,-0.80000
,,,-0.00001788800,-0.80000
,,,-0.00001788400,-0.80000
,,,-0.00001788000,-0.80000
,,,-0.00001787600,-0.80000
,,,-0.00001787200,-0.80000
,,,-0.00001786800,-0.80000
,,,-0.00001786400,-0.80000
,,,-0.00001786000,-0.80000
,,,-0.00001785600,-0.80000
,,,-0.00001785200,-0.80000
,,,-0.00001784800,-0.80000
,,,-0.00001784400,-0.80000
,,,-0.00001784000,-0.80000
,,,-0.00001783600,-0.80000
,,,-0.00001783200,-0.80000
,,,-0.00001782800,-0.80000
,,,-0.00001782400,-0.80000
,,,-0.00001782000,-0.80000
,,,-0.00001781600,-0.80000
,,,-0.00001781200,-0.80000
,,,-0.00001780800,-0.80000
,,,-0.00001780400,-0.80000
,,,-0.00001780000,-0.80000
,,,-0.00001779600,-0.80000
,,,-0.00001779200,-0.80000
,,,-0.00001778800,-0.80000
,,,-0.00001778400,-0.80000
,,,-0.00001778000,-0.80000
,,,-0.00001777600,-0.80000
,,,-0.00001777200,-0.80000
,,,-0.00001776800,-0.80000
,,,-0.00001776400,-0.80000
,,,-0.00001776000,-0.80000
,,,-0.00001775600,-0.80000
,,,-0.00001775200,0.00
,,,-0.00001774800,0.00
,,,-0.00001774400,0.80000
,,,-0.00001774000,1.60000
,,,-0.00001773600,1.60000
,,,-0.00001773200,2.40000
,,,-0.00001772800,3.20000
,,,-0.00001772400,4.00000
,,,-0.00001772000,4.00000
