Source,CH1
Second,Volt
-0.00001024000,12.80000
-0.00001023500,12.00000
-0.00001023000,13.60000
-0.00001022500,12.00000
-0.00001022000,13.60000
-0.00001021500,14.40000
-0.00001021000,13.60000
-0.00001020500,14.40000
-0.00001020000,14.40000
-0.00001019500,13.60000
-0.00001019000,15.20000
-0.00001018500,15.20000
-0.00001018000,14.40000
-0.00001017500,15.20000
-0.00001017000,14.40000
-0.00001016500,15.20000
-0.00001016000,16.80000
-0.00001015500,15.20000
-0.00001015000,16.00000
-0.00001014500,15.20000
-0.00001014000,16.00000
-0.00001013500,17.60000
-0.00001013000,16.00000
-0.00001012500,16.00000
-0.00001012000,17.60000
-0.00001011500,16.00000
-0.00001011000,16.80000
-0.00001010500,16.00000
-0.00001010000,17.60000
-0.00001009500,16.80000
-0.00001009000,16.80000
-0.00001008500,16.80000
-0.00001008000,16.80000
-0.00001007500,16.00000
-0.00001007000,16.80000
-0.00001006500,16.00000
-0.00001006000,14.40000
-0.00001005500,15.20000
-0.00001005000,14.40000
-0.00001004500,14.40000
-0.00001004000,14.40000
-0.00001003500,13.60000
-0.00001003000,13.60000
-0.00001002500,14.40000
-0.00001002000,13.60000
-0.00001001500,12.80000
-0.00001001000,12.80000
-0.00001000500,11.20000
-0.00001000000,12.00000
-0.00000999500,11.20000
-0.00000999000,11.20000
-0.00000998500,9.60000
-0.00000998000,10.40000
-0.00000997500,8.80000
-0.00000997000,8.00000
-0.00000996500,8.00000
-0.00000996000,8.80000
-0.00000995500,6.40000
-0.00000995000,7.20000
-0.00000994500,4.80000
-0.00000994000,5.60000
-0.00000993500,4.80000
-0.00000993000,4.80000
-0.00000992500,3.20000
-0.00000992000,4.00000
-0.00000991500,2.40000
-0.00000991000,4.00000
-0.00000990500,1.60000
-0.00000990000,1.60000
-0.00000989500,1.60000
-0.00000989000,0.80000
-0.00000988500,0.00
-0.00000988000,0.80000
-0.00000987500,-0.80000
-0.00000987000,-0.80000
-0.00000986500,-0.80000
-0.00000986000,0.80000
-0.00000985500,1.60000
-0.00000985000,0.80000
-0.00000984500,-0.80000
-0.00000984000,-0.80000
-0.00000983500,-2.40000
-0.00000983000,0.80000
-0.00000982500,0.00
-0.00000982000,0.80000
-0.00000981500,-0.80000
-0.00000981000,0.00
-0.00000980500,0.00
-0.00000980000,0.80000
-0.00000979500,-2.40000
-0.00000979000,0.80000
-0.00000978500,-2.40000
-0.00000978000,0.80000
-0.00000977500,0.00
-0.00000977000,-2.40000
-0.00000976500,-0.80000
-0.00000976000,0.80000
-0.00000975500,-0.80000
-0.00000975000,-0.80000
-0.00000974500,-0.80000
-0.00000974000,0.00
-0.00000973500,-0.80000
-0.00000973000,-0.80000
-0.00000972500,-0.80000
-0.00000972000,0.00
-0.00000971500,-2.40000
-0.00000971000,0.00
-0.00000970500,0.00
-0.00000970000,-0.80000
-0.00000969500,-0.80000
-0.00000969000,-0.80000
-0.00000968500,0.00
-0.00000968000,0.00
-0.00000967500,-2.40000
-0.00000967000,-0.80000
-0.00000966500,0.00
-0.00000966000,0.00
-0.00000965500,-0.80000
-0.00000965000,-2.40000
-0.00000964500,-0.80000
-0.00000964000,0.80000
-0.00000963500,-0.80000
-0.00000963000,-0.80000
-0.00000962500,-2.40000
-0.00000962000,-0.80000
-0.00000961500,0.00
-0.00000961000,0.00
-0.00000960500,0.00
-0.00000960000,0.00
-0.00000959500,-2.40000
-0.00000959000,0.00
-0.00000958500,-0.80000
-0.00000958000,0.00
-0.00000957500,0.00
-0.00000957000,-0.80000
-0.00000956500,0.00
-0.00000956000,-0.80000
-0.00000955500,-0.80000
-0.00000955000,0.00
-0.00000954500,-0.80000
-0.00000954000,-0.80000
-0.00000953500,-0.80000
-0.00000953000,0.00
-0.00000952500,-0.80000
-0.00000952000,-0.80000
-0.00000951500,-2.40000
-0.00000951000,0.00
-0.00000950500,-0.80000
-0.00000950000,-0.80000
-0.00000949500,0.00
-0.00000949000,0.00
-0.00000948500,-3.20000
-0.00000948000,-0.80000
-0.00000947500,0.00
-0.00000947000,0.80000
-0.00000946500,-0.80000
-0.00000946000,-0.80000
-0.00000945500,-0.80000
-0.00000945000,-0.80000
-0.00000944500,0.00
-0.00000944000,0.00
-0.00000943500,-0.80000
-0.00000943000,-0.80000
-0.00000942500,-2.40000
-0.00000942000,0.00
-0.00000941500,0.00
-0.00000941000,0.00
-0.00000940500,-2.40000
-0.00000940000,0.00
-0.00000939500,-0.80000
-0.00000939000,0.00
-0.00000938500,-0.80000
-0.00000938000,-0.80000
-0.00000937500,-0.80000
-0.00000937000,0.80000
-0.00000936500,0.00
-0.00000936000,0.00
-0.00000935500,-0.80000
-0.00000935000,0.00
-0.00000934500,-0.80000
-0.00000934000,-2.40000
-0.00000933500,-0.80000
-0.00000933000,-0.80000
-0.00000932500,-0.80000
-0.00000932000,0.00
-0.00000931500,-0.80000
-0.00000931000,0.00
-0.00000930500,-0.80000
-0.00000930000,0.80000
-0.00000929500,-0.80000
-0.00000929000,-2.40000
-0.00000928500,-0.80000
-0.00000928000,0.80000
-0.00000927500,-0.80000
-0.00000927000,0.80000
-0.00000926500,-2.40000
-0.00000926000,0.00
-0.00000925500,0.00
-0.00000925000,-2.40000
-0.00000924500,0.00
-0.00000924000,0.00
-0.00000923500,-2.40000
-0.00000923000,0.80000
-0.00000922500,0.00
-0.00000922000,0.00
-0.00000921500,-0.80000
-0.00000921000,0.00
-0.00000920500,-0.80000
-0.00000920000,-0.80000
-0.00000919500,-2.40000
-0.00000919000,0.00
-0.00000918500,0.00
-0.00000918000,0.00
-0.00000917500,0.00
-0.00000917000,-0.80000
-0.00000916500,-0.80000
-0.00000916000,1.60000
-0.00000915500,-0.80000
-0.00000915000,-0.80000
-0.00000914500,-0.80000
-0.00000914000,-0.80000
-0.00000913500,0.00
-0.00000913000,0.00
-0.00000912500,-2.40000
-0.00000912000,0.80000
-0.00000911500,-2.40000
-0.00000911000,0.80000
-0.00000910500,-0.80000
-0.00000910000,-0.80000
-0.00000909500,-0.80000
-0.00000909000,0.00
-0.00000908500,0.00
-0.00000908000,0.00
-0.00000907500,-2.40000
-0.00000907000,0.00
-0.00000906500,-0.80000
-0.00000906000,0.80000
-0.00000905500,-2.40000
-0.00000905000,-0.80000
-0.00000904500,0.00
-0.00000904000,-0.80000
-0.00000903500,0.00
-0.00000903000,0.00
-0.00000902500,-2.40000
-0.00000902000,0.00
-0.00000901500,-0.80000
-0.00000901000,0.00
-0.00000900500,-2.40000
-0.00000900000,-0.80000
-0.00000899500,-0.80000
-0.00000899000,0.80000
-0.00000898500,-0.80000
-0.00000898000,-0.80000
-0.00000897500,0.00
-0.00000897000,-0.80000
-0.00000896500,-0.80000
-0.00000896000,-0.80000
-0.00000895500,-2.40000
-0.00000895000,0.00
-0.00000894500,-2.40000
-0.00000894000,-0.80000
-0.00000893500,-0.80000
-0.00000893000,0.00
-0.00000892500,0.00
-0.00000892000,-0.80000
-0.00000891500,0.80000
-0.00000891000,0.80000
-0.00000890500,0.80000
-0.00000890000,0.80000
-0.00000889500,0.00
-0.00000889000,-2.40000
-0.00000888500,0.00
-0.00000888000,0.80000
-0.00000887500,-2.40000
-0.00000887000,-0.80000
-0.00000886500,-2.40000
-0.00000886000,-0.80000
-0.00000885500,0.80000
-0.00000885000,0.80000
-0.00000884500,-0.80000
-0.00000884000,1.60000
-0.00000883500,0.00
-0.00000883000,0.80000
-0.00000882500,-0.80000
-0.00000882000,1.60000
-0.00000881500,2.40000
-0.00000881000,2.40000
-0.00000880500,2.40000
-0.00000880000,3.20000
-0.00000879500,2.40000
-0.00000879000,3.20000
-0.00000878500,2.40000
-0.00000878000,0.00
-0.00000877500,0.00
-0.00000877000,0.80000
-0.00000876500,1.60000
-0.00000876000,0.80000
-0.00000875500,2.40000
-0.00000875000,5.60000
-0.00000874500,6.40000
-0.00000874000,10.40000
-0.00000873500,12.80000
-0.00000873000,16.00000
-0.00000872500,16.00000
-0.00000872000,17.60000
-0.00000871500,17.60000
-0.00000871000,18.40000
-0.00000870500,17.60000
-0.00000870000,17.60000
-0.00000869500,17.60000
-0.00000869000,19.20000
-0.00000868500,21.60000
-0.00000868000,23.20000
-0.00000867500,28.00000
-0.00000867000,33.60000
-0.00000866500,37.60000
-0.00000866000,40.00000
-0.00000865500,43.20000
-0.00000865000,44.80000
-0.00000864500,45.60001
-0.00000864000,45.60001
-0.00000863500,45.60001
-0.00000863000,45.60001
-0.00000862500,44.80000
-0.00000862000,44.80000
-0.00000861500,46.40001
-0.00000861000,46.40001
-0.00000860500,48.00000
-0.00000860000,51.20000
-0.00000859500,53.60000
-0.00000859000,56.00000
-0.00000858500,55.20000
-0.00000858000,56.00000
-0.00000857500,55.20000
-0.00000857000,53.60000
-0.00000856500,51.20000
-0.00000856000,48.00000
-0.00000855500,45.60001
-0.00000855000,44.00000
-0.00000854500,41.60000
-0.00000854000,40.00000
-0.00000853500,39.20000
-0.00000853000,39.20000
-0.00000852500,38.40000
-0.00000852000,37.60000
-0.00000851500,37.60000
-0.00000851000,36.00000
-0.00000850500,32.80000
-0.00000850000,31.20000
-0.00000849500,28.80000
-0.00000849000,24.80000
-0.00000848500,22.40000
-0.00000848000,18.40000
-0.00000847500,16.80000
-0.00000847000,14.40000
-0.00000846500,12.00000
-0.00000846000,11.20000
-0.00000845500,10.40000
-0.00000845000,10.40000
-0.00000844500,9.60000
-0.00000844000,8.00000
-0.00000843500,7.20000
-0.00000843000,7.20000
-0.00000842500,5.60000
-0.00000842000,4.80000
-0.00000841500,3.20000
-0.00000841000,3.20000
-0.00000840500,1.60000
-0.00000840000,1.60000
-0.00000839500,2.40000
-0.00000839000,2.40000
-0.00000838500,1.60000
-0.00000838000,4.00000
-0.00000837500,5.60000
-0.00000837000,7.20000
-0.00000836500,6.40000
-0.00000836000,9.60000
-0.00000835500,8.80000
-0.00000835000,11.20000
-0.00000834500,11.20000
-0.00000834000,12.00000
-0.00000833500,12.00000
-0.00000833000,14.40000
-0.00000832500,16.80000
-0.00000832000,17.60000
-0.00000831500,19.20000
-0.00000831000,22.40000
-0.00000830500,23.20000
-0.00000830000,27.20000
-0.00000829500,28.00000
-0.00000829000,29.60000
-0.00000828500,32.00000
-0.00000828000,33.60000
-0.00000827500,33.60000
-0.00000827000,36.00000
-0.00000826500,36.80000
-0.00000826000,37.60000
-0.00000825500,38.40000
-0.00000825000,39.20000
-0.00000824500,40.00000
-0.00000824000,41.60000
-0.00000823500,41.60000
-0.00000823000,42.40001
-0.00000822500,43.20000
-0.00000822000,44.00000
-0.00000821500,44.80000
-0.00000821000,44.00000
-0.00000820500,43.20000
-0.00000820000,42.40001
-0.00000819500,40.80000
-0.00000819000,42.40001
-0.00000818500,41.60000
-0.00000818000,41.60000
-0.00000817500,40.80000
-0.00000817000,40.00000
-0.00000816500,40.80000
-0.00000816000,40.00000
-0.00000815500,39.20000
-0.00000815000,40.00000
-0.00000814500,40.00000
-0.00000814000,39.20000
-0.00000813500,39.20000
-0.00000813000,39.20000
-0.00000812500,38.40000
-0.00000812000,38.40000
-0.00000811500,36.80000
-0.00000811000,36.80000
-0.00000810500,37.60000
-0.00000810000,36.80000
-0.00000809500,37.60000
-0.00000809000,36.80000
-0.00000808500,36.80000
-0.00000808000,36.80000
-0.00000807500,36.00000
-0.00000807000,37.60000
-0.00000806500,37.60000
-0.00000806000,38.40000
-0.00000805500,38.40000
-0.00000805000,39.20000
-0.00000804500,39.20000
-0.00000804000,39.20000
-0.00000803500,39.20000
-0.00000803000,40.00000
-0.00000802500,40.80000
-0.00000802000,42.40001
-0.00000801500,43.20000
-0.00000801000,44.00000
-0.00000800500,44.80000
-0.00000800000,45.60001
-0.00000799500,47.20000
-0.00000799000,46.40001
-0.00000798500,48.80000
-0.00000798000,50.40001
-0.00000797500,51.20000
-0.00000797000,52.80000
-0.00000796500,53.60000
-0.00000796000,56.00000
-0.00000795500,55.20000
-0.00000795000,58.40000
-0.00000794500,58.40000
-0.00000794000,59.20000
-0.00000793500,59.20000
-0.00000793000,61.60000
-0.00000792500,62.40000
-0.00000792000,61.60000
-0.00000791500,62.40000
-0.00000791000,63.20000
-0.00000790500,64.80001
-0.00000790000,64.80001
-0.00000789500,64.80001
-0.00000789000,64.80001
-0.00000788500,64.80001
-0.00000788000,65.60000
-0.00000787500,64.80001
-0.00000787000,65.60000
-0.00000786500,64.80001
-0.00000786000,65.60000
-0.00000785500,64.80001
-0.00000785000,63.20000
-0.00000784500,63.20000
-0.00000784000,63.20000
-0.00000783500,61.60000
-0.00000783000,60.00000
-0.00000782500,60.80000
-0.00000782000,60.00000
-0.00000781500,58.40000
-0.00000781000,58.40000
-0.00000780500,57.60000
-0.00000780000,56.80000
-0.00000779500,54.40000
-0.00000779000,53.60000
-0.00000778500,54.40000
-0.00000778000,52.80000
-0.00000777500,50.40001
-0.00000777000,49.60001
-0.00000776500,48.00000
-0.00000776000,48.00000
-0.00000775500,46.40001
-0.00000775000,45.60001
-0.00000774500,44.00000
-0.00000774000,44.00000
-0.00000773500,44.00000
-0.00000773000,42.40001
-0.00000772500,40.80000
-0.00000772000,41.60000
-0.00000771500,40.00000
-0.00000771000,40.00000
-0.00000770500,39.20000
-0.00000770000,38.40000
-0.00000769500,38.40000
-0.00000769000,37.60000
-0.00000768500,37.60000
-0.00000768000,36.80000
-0.00000767500,35.20000
-0.00000767000,35.20000
-0.00000766500,35.20000
-0.00000766000,34.40000
-0.00000765500,34.40000
-0.00000765000,32.80000
-0.00000764500,32.00000
-0.00000764000,31.20000
-0.00000763500,30.40000
-0.00000763000,30.40000
-0.00000762500,28.80000
-0.00000762000,28.00000
-0.00000761500,27.20000
-0.00000761000,24.00000
-0.00000760500,24.80000
-0.00000760000,23.20000
-0.00000759500,21.60000
-0.00000759000,20.00000
-0.00000758500,18.40000
-0.00000758000,17.60000
-0.00000757500,16.00000
-0.00000757000,14.40000
-0.00000756500,12.80000
-0.00000756000,12.80000
-0.00000755500,9.60000
-0.00000755000,9.60000
-0.00000754500,8.00000
-0.00000754000,6.40000
-0.00000753500,4.80000
-0.00000753000,3.20000
-0.00000752500,1.60000
-0.00000752000,1.60000
-0.00000751500,-0.80000
-0.00000751000,0.80000
-0.00000750500,-2.40000
-0.00000750000,0.00
-0.00000749500,0.00
-0.00000749000,-0.80000
-0.00000748500,-2.40000
-0.00000748000,0.00
-0.00000747500,0.00
-0.00000747000,0.00
-0.00000746500,-2.40000
-0.00000746000,0.00
-0.00000745500,-0.80000
-0.00000745000,0.00
-0.00000744500,-0.80000
-0.00000744000,0.00
-0.00000743500,-2.40000
-0.00000743000,-0.80000
-0.00000742500,0.00
-0.00000742000,0.80000
-0.00000741500,-0.80000
-0.00000741000,-0.80000
-0.00000740500,0.00
-0.00000740000,0.00
-0.00000739500,-0.80000
-0.00000739000,0.00
-0.00000738500,-0.80000
-0.00000738000,0.00
-0.00000737500,-0.80000
-0.00000737000,0.00
-0.00000736500,-0.80000
-0.00000736000,0.00
-0.00000735500,-0.80000
-0.00000735000,-0.80000
-0.00000734500,-0.80000
-0.00000734000,0.80000
-0.00000733500,0.00
-0.00000733000,-0.80000
-0.00000732500,0.00
-0.00000732000,-0.80000
-0.00000731500,0.00
-0.00000731000,0.00
-0.00000730500,-2.40000
-0.00000730000,0.00
-0.00000729500,0.00
-0.00000729000,0.00
-0.00000728500,-0.80000
-0.00000728000,0.00
-0.00000727500,-2.40000
-0.00000727000,0.80000
-0.00000726500,-0.80000
-0.00000726000,0.00
-0.00000725500,-2.40000
-0.00000725000,0.00
